Samples,Caffeine,CuSO4,DTT,EtOH10,EtOH9,EtOH8,Malt_Ext,Fructose,G418,Galactose,Glicerol,Glucose,H2O2,KCl,Lactose,Methanol,Maltodextrine,Maltose,NaCl,p-coumeric acid,Rafinose,Sacarose,SDS,Sorbitol
CL916.1,0.10504,0.10504,0.153694,0.054677,0.05298,0.058806,0.197003,0.216101,0.094427,0.198966,0.062187,0.178083,0.136861,0.161736,0.058615,0.060915,0.068242,0.17535,0.136861,0.187523,0.253139,0.257926,0.111558,0.205621
CL1101.1,0.189157,0.20894,0.141753,0.141753,0.229095,0.214461,0.184881,0.253108,0.234412,0.218667,0.053934,0.188743,0.263921,0.25371,0.059131,0.184852,0.152662,0.20074,0.24009,0.234412,0.221264,0.276351,0.209262,0.238738
CL1104.1,0.219379,0.176205,0.138766,0.138766,0.235329,0.233907,0.107617,0.30352,0.174902,0.217794,0.04039,0.175601,0.244265,0.255394,0.034803,0.175862,0.171112,0.199789,0.186146,0.174902,0.222654,0.268015,0.261541,0.220647
CL1106.1,0.167138,0.210024,0.11402,0.11402,0.222207,0.19963,0.102622,0.246489,0.205467,0.22771,0.046239,0.159759,0.24227,0.263616,0.07162,0.16485,0.309949,0.195344,0.262969,0.205467,0.213405,0.256647,0.24229,0.230674
CL1108.1,0.196571,0.214087,0.108388,0.108388,0.21677,0.185913,0.098256,0.244703,0.194957,0.21368,0.02974,0.199544,0.203566,0.251095,0.048754,0.167717,0.281481,0.190958,0.272676,0.194957,0.212461,0.264513,0.180114,0.231133
CL1109.1,0.198576,0.227328,0.105056,0.105056,0.231347,0.227222,0.10677,0.25366,0.198811,0.201893,0.051108,0.195848,0.205396,0.237414,0.045464,0.15826,0.447585,0.210799,0.257659,0.198811,0.208502,0.273728,0.197426,0.237764
CL1110.1,0.186009,0.222863,0.108502,0.108502,0.208843,0.165178,0.114538,0.26093,0.238342,0.211556,0.039802,0.159645,0.254992,0.250974,0.044876,0.158169,0.4513,0.185072,0.242392,0.238342,0.219808,0.276174,0.249351,0.24393
CL1111.1,0.198729,0.222325,0.131356,0.131356,0.214138,0.213915,0.102395,0.299198,0.194164,0.210139,0.046874,0.17908,0.247972,0.270539,0.056389,0.226236,0.165033,0.206331,0.262418,0.194164,0.224023,0.253306,0.209643,0.249348
CL1112.1,0.197257,0.245823,0.145631,0.145631,0.244121,0.202629,0.115562,0.264925,0.223537,0.212,0.074435,0.151866,0.238234,0.261937,0.069744,0.269468,0.263321,0.207877,0.259144,0.223537,0.188097,0.266605,0.210143,0.272602
CL204.3,0.116096718,0.087994009,0.210077455,0.199625807,0.116096718,0.164456821,0.145777482,0.268081174,0.137578476,0.190066933,0.04159967,0.217571893,0.207417155,0.243079289,0.04967111,0.207417155,0.059781002,0.16247225,0.197288122,0.267625792,0.206632996,0.245229259,0.211380868,0.117112261
